Course,"2023-11-10, 11:27_x","2023-11-10, 11:27_y","2023-11-13, 01:00","2023-11-13, 13:03","2023-11-13, 16:05","2023-11-14, 07:54","2023-11-14, 12:30","2023-11-16, 18:43","2023-11-17, 09:16","2023-11-18, 09:44","2023-12-20, 04:34","2023-12-20, 10:47"
ECN 001A,917,917,917,900,895,880,863,458,399,357,221,188
ECN 001B,727,727,726,719,713,699,686,384,306,260,181,174
ECN 092,0,0,0,0,0,0,0,0,0,0,0,0
ECN 099,0,0,0,0,0,0,0,0,0,0,0,0
ECN 100A,261,261,260,231,221,189,170,74,72,68,59,53
ECN 100B,177,177,176,154,144,114,93,37,36,36,26,25
ECN 101,354,354,354,329,315,280,254,140,138,137,58,50
ECN 102,183,183,182,171,164,156,141,113,111,111,87,82
ECN 103,109,109,109,105,103,101,96,96,96,96,52,51
ECN 106,75,75,75,65,58,46,39,28,28,27,1,-3
ECN 110B,88,88,86,70,65,44,33,5,4,2,-19,-22
ECN 115A,-56,-56,-58,-67,-71,-79,-83,-88,-87,-88,32,24
ECN 115B,-38,-38,-36,-48,-55,-65,-68,-75,-75,-76,-12,-15
ECN 122,51,51,51,46,43,39,35,33,32,31,-6,-7
ECN 131,100,100,100,95,91,89,82,76,75,75,61,59
ECN 134,74,74,74,68,68,63,59,59,59,59,30,28
ECN 135,14,14,13,6,0,-6,-6,-7,-7,-7,-16,-20
ECN 140,-14,-14,-14,-19,-19,-20,-22,-23,-23,-23,-16,-16
ECN 142B,22,22,22,19,18,15,15,14,14,13,9,6
ECN 171,60,60,59,38,33,19,6,-6,-6,-5,-29,-30
ECN 192,99,99,99,99,99,99,99,99,99,98,98,98
ECN 198,0,0,0,0,0,0,0,0,0,0,0,0
