Course,"2023-11-10, 11:29_x","2023-11-10, 11:29_y","2023-11-13, 13:03","2023-11-13, 16:05","2023-11-14, 07:54","2023-11-14, 12:29","2023-11-16, 18:43","2023-11-17, 09:18","2023-11-18, 09:45","2023-12-20, 04:33","2023-12-20, 10:47"
MAT 000D,25,25,25,25,23,22,-9,-14,-17,-1,-2
MAT 016A,347,347,339,334,321,312,218,178,162,128,122
MAT 016B,74,74,71,70,67,61,-1,-2,-5,-6,-6
MAT 017A,414,414,407,405,400,388,63,-53,-89,-86,-106
MAT 017B,793,793,782,781,769,758,111,-11,-44,-11,-16
MAT 017C,160,160,156,156,145,130,-16,-16,-16,-11,-11
MAT 019B,118,118,119,119,118,118,44,32,27,30,30
MAT 021A,287,287,285,283,282,279,109,46,20,0,-16
MAT 021B,1358,1358,1345,1344,1331,1310,360,165,69,56,48
MAT 021C,533,533,523,518,507,492,60,40,32,27,19
MAT 021D,336,336,324,320,309,284,23,17,15,12,3
MAT 022A,478,478,460,455,421,368,-87,-90,-89,-62,-66
MAT 027A,38,38,36,35,32,28,4,3,3,0,-2
MAT 098,0,0,0,0,0,0,0,0,0,0,0
MAT 108B,83,83,81,81,81,78,54,53,53,-11,-15
MAT 108,28,28,28,28,28,26,17,17,16,-5,-5
MAT 108A,60,60,60,60,59,59,53,53,53,39,37
MAT 111,27,27,24,21,19,17,16,17,16,1,0
MAT 127A,151,151,148,144,138,129,101,101,99,45,44
MAT 127B,76,76,65,62,53,46,36,37,37,31,29
MAT 127C,46,46,41,38,36,35,35,35,34,36,36
MAT 128A,38,38,32,30,25,24,21,20,20,-1,-5
MAT 128B,33,33,30,29,29,28,22,23,23,7,2
MAT 135A,72,72,67,62,56,47,34,35,34,13,12
MAT 135B,43,43,42,41,39,38,34,34,34,21,20
MAT 141,37,37,36,35,32,30,28,27,27,15,7
MAT 145,83,83,81,79,76,75,72,72,72,35,28
MAT 150A,25,25,19,17,12,9,1,1,1,-8,-7
MAT 150B,38,38,35,34,33,32,29,30,29,22,22
MAT 167,41,41,34,33,26,23,16,15,15,-4,-7
MAT 180,31,31,31,31,30,30,29,29,29,27,27
MAT 192,0,0,0,0,0,0,0,0,0,0,0
MAT 197,0,0,0,0,0,0,0,0,0,0,0
MAT 199,0,0,0,0,0,0,0,0,0,0,0
MAT 399,0,0,0,0,0,0,0,0,0,0,0
