Course,"2023-11-10, 11:30_x","2023-11-10, 11:30_y","2023-11-14, 07:55","2023-11-16, 18:44","2023-11-17, 09:17","2023-11-18, 09:45","2023-12-20, 04:34","2023-12-20, 10:47"
SPA 001,57,57,45,-6,-15,-18,-11,-15
SPA 002,97,97,80,-4,-10,-12,-13,-15
SPA 003,70,70,56,-5,-7,-12,-15,-15
SPA 021,4,4,0,-3,-3,-3,-3,-3
SPA 022,20,20,18,8,7,8,9,9
SPA 023,20,20,20,10,10,10,9,9
SPA 024,21,21,21,13,9,6,3,1
SPA 031,20,20,15,10,8,8,6,6
SPA 032,45,45,43,32,31,30,24,23
SPA 098,0,0,0,0,0,0,0,0
SPA 100,14,14,9,-5,-6,-6,21,21
SPA 114N,29,29,27,23,23,23,22,22
SPA 131N,25,25,22,13,13,13,15,15
SPA 142,18,18,14,1,0,0,-3,-3
SPA 144,25,25,24,23,23,23,22,22
SPA 167,31,31,25,18,18,18,15,15
SPA 171,5,5,2,-2,-2,-2,20,20
SPA 178,52,52,52,48,48,48,45,45
SPA 194,0,0,0,0,0,0,0,0
SPA 197,0,0,0,0,0,0,0,0
SPA 199,0,0,0,0,0,0,0,0
